row#,Name,FIPS,Source,Life Expectancy,Self-Reported Physical Health,Self-Reported Mental Health,Opioid Overdose Per 100000 People,Fatal Drug Overdose,Alcohol Abuse,Suicide Rates,Current Asthma Over Age 18,Stroke,COPD,CHD,Cancer,High Blood Pressure,Cholesterol Screening,Routine Doctor Visit,Colonoscopy,Mammogram,Older Men Preventive Screening,Older Women Preventive Screening,Dental Exams,COVID-19 Deaths,Hepatitis (Medicare Recipients diagnosed),HIV,Chlamydia,Gonorrhea,Syphillis,Infant Mortality,Low birthweight,Pre-term birth,Childhood Asthma,Teen births,Proximity to Nursing Homes,Number of Hospital Beds per 10000 people,Covid-19 Vaccination Rates,Medically Underserved Areas,Current Lack of Health Insurance,Proximity to hospitals,Below Poverty,Unemployed,Low Income,No High School Diploma,Aged 65 or Older,Aged 17 or Younger,Civilian with a Disability,Single-Parent Households,Minority,Speaks English Less than Well,Undocumented Population,Hate Crimes,Redlining,Multi-Unit Structures,Mobile Homes,Crowding,No Vehicle,Group Quarters,Housing Foreclosure Risk,Percent of Housing Units Built Between 1940-1969 as of 2015-2019,Percent of Unbanked Households,Payday lending rank,Housing Affordability (renters),Housing Affordability (owners),Modified Retail Food Environment Index,Municipal Wastewater,Indoor Plumbing,Residential Energy Cost Burden,Share of energy from fossil fuels,EV Charging Stations,Delay (congestion) per capita/census tract,Flooding risk to roads,Lane miles per capita,Heavy Duty Vehicle lane miles per capita,Public Transit Performance,Bridge Quality/Maintenance,Walkability,Transit Access,Bikability,Percent of Household with no internet access,Percent of household with smartphone but no other device.,Tax Base: Median Real Estate Taxes Paid,Voter Turnout (2020 Presidential),Public Library Locations,HUD Public Housing,Total lane miles per capita,Passenger lane miles per capita,Truck lane miles per capita,Proximity to Ports,Risk-Screening Environmental Indicators (RSEI),Respiratory,Neurological,Liver,Developmental,Reproductive,Kidney,Immunological,Thyroid,Total Cancer Risk,Black Carbon,Agricultural pesticides,Lead Paint: Housing units built before 1960 (percent),Lead in drinking water violations,Superfund Sites,Brownfields,Stream Toxicity Risk-Screening Environmental Indicators (RSEI),Proximity to facilities participating in air markets,NPL sites,Hazardous Waste Management Facilities (TSDFs),Hazardous Waste Generator/Incinerators,Facilities with Enforcement/Violation,Landfills,TSCA Facilities,Risk Management Plan Facilities,Chemical Manufacturers,Metal Recyclers,Active Oil and Gas Wells,PM 2.5 concentration,NO2 concentration,Ozone concentration,Parks and Greenspace,Impermeable Surfaces,Forest Land Cover,Native American Lands,Temperature-related mortality,Deaths from climate disasters,Increase in childhood asthma incidence,Increase in childhood asthma ER visits,Increased PM2.5 mortality - CVD (ages 65+),Increased Ozone mortality (all ages),Flooding risk to properties,Property taxes expected to be lost by 2045 due to chronic inundation,Cost of climate disasters,Residential Energy Expenditures (% change),Share of Jobs in Agriculture,State energy-related carbon dioxide emissions by year,Methane Emissions,Property Crimes (% change),Violent Crimes (% change),High-Risk Jobs Productivity (% Change),Yields (% change),Outdoor workers - work days at risk per year,Expected Annual Loss - Agriculture Value,Expected Annual Loss - Building Value,Expected Annual Loss - Population Equivalence,Cold Wave - Annualized Frequency,Days with maximum temperature (TX) above 35 C,Days with TX above 40C,Frost Days,Maximum of maximum temperatures,Mean temperature,Urban Heat Island Extreme Heat Days,Sea Level Rise,Hurricane - Annualized Frequency,Tornado - Annualized Frequency,Winter Weather - Annualized Frequency,Drought - Annualized Frequency,Consecutive Dry Days,Wildfire - Annualized Frequency,Surface PM2.5,Snowfall,Standardized Precip Index,Total Precipitation
11,GA,13,"+33.680446,-84.1760173",0.82,0.76,0.86,0.26,0.1,0.34,0.44,0.3,0.74,0.62,0.46,0.16,0.836734693877551,0.52,0.46,0.78,0.1,0.8,0.48,0.82,0.54,0.34,0.94,0.8,0.74,0.92,0.64,0.94,0.16,0.72,0.76,0.86,0.4,0.22,0.7,0.98,0.92,0.86,0.74,0.82,0.84,0.142857142857143,0.82,0.48,0.9,0.84,0.54,0.88,0.22,0,0.26,0.58,0.62,0.54,0.122448979591837,0.86,0.12,0.92,0.409090909090909,0.8,0.64,0.78,1,0.54,0.673469387755102,0.877551020408163,0.5,0.9,0.36,0.4,0.22,1,1,0.755102040816326,0,0.94,0.62,0.76,0.66,0.46,0.88,0.26,0.88,0.84,0.94,0.92,0.76,1,0.54,0.465116279069768,0.387755102040816,0.387755102040816,0.48,0.577777777777778,0.4,1,0.72,0.34,0.78,0,0.26,0.66,0.28,0.96,0.08,0.56,0,0.6,0.4,0.2,0.54,0.38,0.82,0,0.92,0.56,0.86,0.422222222222222,0.38,0.17948717948718,,0.7,0.94,0.96,,0.96,0.32,0.44,0.96,0.9,0.74,0.26,0.4,0.18,0.24,0.3,0.78,0.62,0.8,0.58,0.5,0.52,0,0.52,0.56,0.14,0.14,0.1,0.1,0.8,0.66,0.78,0.2,0.94,0.52,0.62,0.2,0.16,0.36,0.28
12,HI,15,"+21.32287,-157.8331515",0,0.02,0.06,0.8,0.32,0.62,0.82,0.18,0.2,0,0.1,0.1,0.244897959183673,0.2,0.18,0.2,0,0.9,0.62,0.04,0.02,0.84,0.26,0.66,0.44,0.78,0.36,0.54,0.3,0.98,0.38,0.7,0.86,0.74,0,0.12,0.14,0.1,0.18,0.2,0.02,0.959183673469388,0.12,0.18,0,1,0.92,0.34,0.84,0,0.84,0,1,0.44,0.714285714285714,0.02,0.82,0.12,0.590909090909091,0.14,0,0.04,1,0.32,0.0204081632653061,0.36734693877551,0.18,0.82,0,0.94,0.86,0.105263157894737,1,0.224489795918367,0.8,0.2,0.1,0.18,0.54,0.94,0.44,0.92,0.1,0.08,0.44,0.96,0.22,0,0.08,0.348837209302326,0,0.0204081632653061,0.18,0.133333333333333,0.26,0,0.5,0,0.96,0,0.04,0.04,0.16,0,0.52,0.82,0.86,0.72,0.96,0.06,0.28,0.48,0.9,0,0,0,0,0.422222222222222,0,1,,0.96,0.04,0.3,,0.3,0.16,0.02,0,0.04,1,0.76,0.38,0,0.18,0.22,0,0.34,0,0,0.68,0.16,0,0.02,0,0,0.02,0,0,0.74,0.28,0.04,0,0,0.76,0.48,0.94,0,0.1,0
13,ID,16,"+43.61506095,-116.2048265",0.36,0.7,0.52,0.18,0.28,0.26,0.12,0.6,0.4,0.44,0.56,0.38,0.387755102040816,0.28,0.86,0.76,0.98,0.58,0.8,0.62,0.4,0.16,0.06,0.18,0.18,0.3,0.1,0.22,0.94,0.28,0.54,0.4,0.62,0.82,0,0.9,0.68,0.68,0.32,0.8,0.46,0.306122448979592,0.96,0.68,0.28,0.34,0.54,0.26,0.3,0,0.28,0.84,0.72,0.06,0.612244897959184,0.2,0.16,0.18,0.409090909090909,0.54,0.64,0.1,1,0.16,0.204081632653061,0.142857142857143,0.76,0.02,0.9,0.28,0.18,0.947368421052632,1,0.857142857142857,0,0.26,0.48,0.4,0.74,0.5,0.42,0.12,0.64,0.64,0.78,0,0.08,0.222222222222222,0.08,0.209302325581395,0.591836734693878,0.387755102040816,0.48,0.0666666666666667,0.18,0.0638297872340426,0.52,0.86,0.46,0,0.76,0.9,0.12,0.5,0.1,0.16,0,0.52,0.88,0.44,0.34,0.96,0.94,0,0.2,0.16,0.84,0.133333333333333,0.2,1,,0.18,0.32,0.44,,0.4,0.24,0.92,0,0.4,0.22,0.98,0.22,0.38,0.68,0.42,0.58,0.14,0.12,0.84,0.18,0.46,0.54,0.64,0.4,1,0.9,0.82,0.38,0,0,0.34,0.4,0.72,0.92,0.96,0.98,0.94,0.84,0.98
14,IL,17,"+41.7760394,-88.0160778",0.52,0.44,0.36,0.74,0.52,0.88,0.28,0.16,0.3,0.32,0.28,0.22,0.428571428571429,0.34,0.62,0.6,0.48,0.3,0.74,0.5,0.42,0.68,0.82,0.9,0.9,0.44,0.6,0.7,0.26,0.1,0.5,0.22,0.44,0.1,0,0.64,0.1,0.46,0.62,0.42,0.52,0.244897959183673,0.58,0.12,0.56,0.58,0.7,0.9,0.12,0,0.62,0,0.56,0.86,0.122448979591837,0.76,0.8,0.58,0.409090909090909,0.7,0.64,0.78,1,0.38,0.204081632653061,0.979591836734694,0.24,0.86,0.5,0.78,0.66,0.263157894736842,1,0.0816326530612245,0,0.14,0.5,0.62,0.14,0.52,0.12,1,0.12,0.12,0.22,0.9,0.96,0.622222222222222,1,0.465116279069768,0.591836734693878,0.816326530612245,0.78,0.577777777777778,1,0.468085106382979,0.7,0.44,0.52,0.893617021276596,0.92,0.38,0.98,0.8,0.5,0.86,0.84,0.7,0.86,0.98,0.92,0.08,0.46,0,0.94,0.92,0.2,0.133333333333333,0.9,0.846153846153846,,0.46,0.82,0.04,,0,0.96,0.6,0,0.74,0.6,0.2,0.54,0.82,0.7,0.62,0.54,0.68,0.5,0.12,0.38,0.56,0.9,0.58,0.68,0.56,0.74,0.76,0.22,0,0.28,0.36,0.7,0.42,0.1,0.04,0.22,0.68,0.72,0.64
15,IN,18,"+40.0274321,-86.1585",0.74,0.76,0.76,0.42,0.64,0.28,0.58,0.6,0.66,0.84,0.72,0.44,0.816326530612245,0.72,0.54,0.74,0.68,0.9,0.88,0.76,0.68,0.26,0.32,0.56,0.66,0.2,0.9,0.56,0.42,0.9,0.78,0.44,0.54,0.38,0,0.52,0.6,0.6,0.4,0.68,0.72,0.326530612244898,0.78,0.66,0.84,0.24,0.32,0.62,0.54,0,0.38,0.5,0.34,0.54,0.306122448979592,0.94,0.7,0.46,0.590909090909091,0.54,0.24,0.32,1,0.88,0.673469387755102,0.428571428571429,0.78,0.54,0.52,0.46,0.12,0.921052631578947,1,0.612244897959184,0,0.54,0.8,0.78,0.86,0.86,0.48,0.54,0.4,0.4,0.88,0.64,0.9,0.222222222222222,0.54,0.465116279069768,0.387755102040816,0.387755102040816,0.78,0.577777777777778,0.62,0.0638297872340426,0.48,0.82,0.28,0,0.68,0.36,0.72,0.88,0.72,0.78,0.6,0.5,0.7,0.64,0.84,0.5,0.52,0,1,0.6,0.28,0.422222222222222,0.56,0.487179487179487,,0.54,0.64,0.14,,0.1,0.78,0.32,0,0.6,0.62,0.48,0.86,0.42,0.52,0.46,0.6,0.66,0.58,0.56,0.48,0.5,0.8,0.6,0.68,0.52,0.64,0.66,0.64,0,0.28,0.66,0.48,0.28,0.14,0.18,0.18,0.56,0.76,0.66
16,IA,19,"+41.8450624,-93.1915014",0.4,0.24,0.14,0.04,0.08,0.9,0.7,0.02,0.6,0.48,0.68,0.92,0.591836734693878,0.72,0.32,0.32,0.52,0.12,0.38,0.3,0.64,0.14,0.28,0.16,0.26,0.12,0.2,0.24,0.54,0.28,0.42,0.6,0.52,0.6,0,0.08,0.36,0.38,0.08,0.44,0.22,0.918367346938776,0.7,0.36,0.52,0.08,0.32,0.26,0.04,0,0.46,0.52,0.1,0.38,0.897959183673469,0.34,0.62,0.08,0.590909090909091,0.04,0.06,0.32,0,0.78,0.204081632653061,0.346938775510204,0.62,0.02,0.82,0.12,0.1,1,0.222222222222222,0.673469387755102,0,0.78,0.74,0.62,0.44,0.2,0.28,0.08,0.9,0.92,0.56,0,0.5,0.0222222222222222,0.08,0.348837209302326,0.0408163265306122,0.0204081632653061,0.18,0.133333333333333,0.26,0.0638297872340426,0.24,0.96,0.04,0,0.64,0.42,0.26,0.3,0.2,0.2,1,0.24,0.32,0.58,0.98,0.66,0.76,0,0.52,0.24,0.12,0.422222222222222,0.3,0.641025641025641,,0.42,0.62,0,,0.04,0.72,0.02,0,0.58,0.72,0.82,0.78,0.66,0.8,0.92,0.68,0.74,0.58,0.98,0.7,0.72,0.92,0.78,0.84,0.62,0.88,0.78,0.4,0,0.28,0.9,0.72,0.54,0.64,0.3,0.46,0.42,0.5,0.48
17,KS,20,"+38.81852785,-96.09415365",0.62,0.4,0.4,0.28,0.24,0.36,0.56,0.38,0.48,0.54,0.54,0.58,0.73469387755102,0.8,0.66,0.84,0.72,0.52,0.5,0.56,0.46,0.44,0.14,0.28,0.4,0.28,0.02,0.38,0.72,0.72,0.82,0.62,0.42,0.64,0,0.64,0.44,0.42,0.22,0.64,0.38,0.510204081632653,0.86,0.58,0.48,0.44,0.44,0.4,0.7,0,0.42,0.54,0.34,0.2,0.836734693877551,0.42,0.76,0.58,0.590909090909091,0.14,0.06,0.54,1,0.82,0.673469387755102,1,0.46,0.3,0.28,0.22,0.04,0.789473684210526,1,0.530612244897959,0,0.66,0.7,0.66,0.5,0.74,0.56,0.06,0.54,0.52,0.66,0.78,0.58,0.222222222222222,0.08,0.465116279069768,0.591836734693878,0.387755102040816,0.32,0.133333333333333,0.26,0.468085106382979,0.32,0.84,0.38,0,0.34,0.4,0.84,0.26,0.34,0.5,0.9,0.1,0.58,0.92,0.9,0.32,0.22,0,0.46,0.26,0.56,0.422222222222222,0.48,0.692307692307692,,0.68,0.6,0.18,,0.1,0.92,0.14,0,0.64,0.9,0.42,0.7,0.64,0.48,0.28,0.86,0.86,0.76,0.6,0.64,0.84,0.54,0.92,0.94,0.4,0.8,0.42,0.1,0,0.28,0.8,0.48,0.62,0.34,0.46,0.44,0.34,0.2,0.18
18,KY,21,"+37.9418652,-85.1565883",0.92,0.96,0.9,0.16,0.86,0.14,0.4,0.72,0.9,0.98,0.96,0.8,0.959183673469388,0.96,0.02,0.46,0.5,0.06,0.16,0.86,0.44,0.12,0.8,0.26,0.52,0.22,0.74,0.8,0.14,0.08,0.9,0.94,0.08,0.5,0.7,0.28,0.72,0.92,0.74,0.92,0.92,0.510204081632653,0.58,0.96,0.7,0.12,0.06,0.3,0.76,0,0.2,0.8,0.54,0.8,0,0.72,0.4,0.78,1,0.36,0.24,0.54,1,0.62,0.673469387755102,0.387755102040816,0.7,0.54,0.52,0.42,0.14,1,1,0.857142857142857,0,0.7,0.88,0.82,0.84,0.66,0.8,0.42,0.62,0.46,0.92,0.76,0.56,0.622222222222222,0.54,0.465116279069768,0.142857142857143,0.204081632653061,0.6,0.577777777777778,0.4,0.468085106382979,0.68,0.24,0.44,0,0.42,0.08,0.68,0.76,0.18,0.3,0,0.56,0.6,0.34,0.36,0.52,0.78,0,0.88,0.48,0.6,0.422222222222222,0.18,0.128205128205128,,0.66,0.9,0.74,,0.74,0.98,0.44,0,0.86,0.7,0.22,0.88,0.4,0.32,0.38,0.82,0.94,0.76,0.74,0.54,0.78,0.54,0.5,0.6,0.38,0.44,0.3,0.54,0,0.26,0.88,0.42,0.32,0.16,0.6,0,0.48,0.56,0.6
19,LA,22,"+30.26677105,-91.13000585",0.92,0.9,0.98,0.44,0.7,0.78,0.78,0.44,0.9,0.74,0.8,0.22,0.918367346938776,0.84,0.06,0.7,0.16,0.96,0.94,0.98,0.72,0.62,0.96,0.96,0.86,0.9,0.66,0.98,0.02,0.28,0.86,0.5,0.26,0.52,0.7,0.72,0.08,0.98,0.92,0.88,0.98,0.244897959183673,0.74,0.82,0.98,0.82,0.32,0.4,0.18,0,0.1,0.7,0.62,0.92,0.306122448979592,0.76,0.74,1,0,0.7,0.24,0.54,1,0.6,0.673469387755102,0.63265306122449,0.66,0.64,0.98,0.48,0.3,0.578947368421053,1,0.326530612244898,0,0.4,0.94,0.92,0.94,0.82,0.9,0.58,0.5,0.44,0.84,0.86,0.86,0.622222222222222,0.54,0.465116279069768,0.142857142857143,0.204081632653061,0.38,0.133333333333333,0.9,1,0.14,0.32,0.78,0,0.24,0.32,0.7,0.74,0.56,0.7,0.7,0.92,0.36,0.26,0.78,0.76,0.66,0,0.68,0.42,0.22,0.422222222222222,0.58,0.897435897435897,,0.98,0.96,0.76,,0.82,0.14,1,0.72,0.98,0.64,0.44,0.94,0.7,0.06,0.06,0.94,0.96,0.98,0.52,0.96,0.8,0,0.86,0.64,0.06,0.06,0.04,0.4,1,0.96,0.68,0.1,0.76,0.08,0.4,0.64,0.04,0.02,0.06
20,ME,23,"+44.2570583,-69.8443825",0.56,0.66,0.52,0.52,0.74,0.46,0.06,0.96,0.66,0.84,0.84,1,0.591836734693878,0.66,0.44,0.08,0.32,0.68,0.7,0.66,0.12,0.26,0,0.06,0.08,0.36,0.42,0.04,0.86,0.26,0.16,0.56,0.3,0.76,0,0.62,0.98,0.54,0.28,0.54,0.3,1,0.02,0.88,0.38,0,0.06,0,0.34,0,0.1,0.82,0.14,0.58,0.714285714285714,0.68,0.18,0.1,0.590909090909091,0.04,0.64,0,1,0,1,0.102040816326531,0.84,0.2,0.72,0.24,0.2,1,1,1,0,0.96,0.52,0.12,0.34,0.02,0.2,0.6,0.56,0.38,0.96,1,0.14,0.0222222222222222,0.08,0.209302325581395,0.142857142857143,0.102040816326531,0.18,0.133333333333333,0.4,0.0638297872340426,0.34,0.18,0.14,0.893617021276596,0.1,0.98,0.06,0.22,0.4,0.08,0.34,0.22,0.06,0.22,0.02,0.84,0.7,0,0.1,0.12,0.08,1,0.1,0.0512820512820513,,0,0.08,0.36,,0.3,0,0.72,0.66,0.08,0.08,0.9,0.34,0.04,0.98,0.98,0.16,0.34,0.2,0.92,0.26,0.12,0.68,0.04,0.06,0.78,0.58,0.86,0.78,0.78,0.82,0.52,0.98,0.48,0.5,0.38,0.7,0.92,0.82,0.84
21,MD,24,"+39.20460765,-76.75464655",0.38,0.1,0.22,0.76,0.92,0.18,0.04,0.22,0.2,0.14,0.12,0.22,0.673469387755102,0.62,0.3,0.24,0.28,0.2,0.38,0.44,0.32,0.9,0.84,0.36,0.48,0.52,0.68,0.84,0.28,0.72,0.14,0.02,0.9,0.28,0,0.18,0.56,0.06,0.46,0.1,0.4,0.183673469387755,0.5,0.06,0.6,0.86,0.7,0.78,0.02,0,0.8,0,0.24,0.58,0.306122448979592,0.44,0.66,0.18,0,0.54,0.64,0.32,1,0.36,0.0204081632653061,0.448979591836735,0.14,0.76,0.08,0.86,0.9,0.131578947368421,1,0.244897959183673,0.86,0.62,0.14,0.18,0.18,0.34,0.96,0.5,0.36,0.34,0.32,0.82,0.36,0.622222222222222,0.08,0.465116279069768,0.591836734693878,0.816326530612245,0.48,0.577777777777778,0.04,0.468085106382979,0.82,0.8,0.68,0,0.16,0.28,0.04,0.16,0.84,0.76,0.74,0.88,0.34,0.18,0.48,0.68,0.16,0,0.76,0.9,0.76,0.133333333333333,0.62,0.358974358974359,,0.64,0.68,0.72,,0.72,0.8,0.44,0.82,0.76,0.36,0.1,0.08,0.68,0.42,0.7,0.32,0.78,0.64,0.22,0.1,0.24,0.46,0.28,0.24,0.66,0.4,0.54,0.44,0.92,0.76,0.38,0.56,0.5,0.12,0.42,0.06,0.58,0.7,0.7
22,MA,25,"+42.3131947,-71.1415795",0.04,0.16,0.26,0.92,0.84,0.82,0.3,0.52,0.06,0.16,0.24,0.58,0.0612244897959184,0.16,0.1,0.04,0.02,0.54,0.58,0.02,0.66,0.94,0.36,0.1,0.28,0.58,0.04,0.28,0.78,0.16,0.02,0.18,0.82,0.26,0,0,0.24,0.08,0.36,0.04,0.14,0.326530612244898,0.16,0.18,0.06,0.48,0.82,0.76,0.94,0,0.98,0,0.24,0.96,0.714285714285714,0.54,0.68,0.26,0.409090909090909,0.88,0.88,0.88,1,0.34,0.204081632653061,0.795918367346939,0.06,0.94,0.76,0.66,0.82,0.315789473684211,1,0.122448979591837,0.84,0.4,0.18,0.04,0.08,0.26,0.04,0.88,0.24,0.28,0.68,0.98,0.78,0.222222222222222,0.54,1,0.591836734693878,0.63265306122449,0.78,1,0.26,0.0638297872340426,0.86,0.22,0.02,0.893617021276596,0.52,0.94,0.48,0.92,0.74,0.92,0.68,0.78,0.68,0.68,0.68,0.06,0.58,0,0.22,0.68,0.42,0,0.84,0.41025641025641,,0.24,0.36,0.58,,0.56,0.54,0.88,0.9,0.34,0.14,0.44,0.1,0.88,0.84,0.86,0.18,0.34,0.3,0.4,0.12,0.06,0.66,0.12,0.12,0.8,0.5,0.74,0.8,0.86,0.94,0.22,0.88,0.42,0.82,0.24,0.5,0.84,0.9,0.88
23,MI,26,"+42.5776667,-83.6585901",0.66,0.66,0.82,0.68,0.6,0.76,0.32,0.94,0.66,0.76,0.64,0.7,0.693877551020408,0.82,0.22,0.16,0.36,0.28,0.42,0.24,0.9,0.74,0.44,0.3,0.42,0.46,0.86,0.6,0.36,0.88,0.48,0.8,0.46,0.2,0,0.3,0.74,0.58,0.8,0.58,0.48,0.73469387755102,0.32,0.78,0.52,0.36,0.22,0.52,0.88,0,0.36,0.32,0.14,0.68,0.510204081632653,0.9,0.9,0.38,0.409090909090909,0.14,0.64,0.54,1,0.4,0.204081632653061,0.63265306122449,0.58,0.7,0.18,0.54,0.84,0.894736842105263,1,0.428571428571429,0,0.46,0.54,0.66,0.4,0.18,0.24,0.64,0.42,0.58,0.04,0.8,0.74,0.222222222222222,0.54,1,0.591836734693878,0.63265306122449,0.78,0.577777777777778,0.62,0.0638297872340426,0.26,0.72,0.34,0.702127659574468,0.8,0.68,0.5,0.28,0.58,0.58,0.88,0.74,0.94,0.74,0.32,0.22,0.54,0,0.82,0.62,0.5,0.422222222222222,0.76,0.615384615384615,,0.28,0.28,0.06,,0,0.72,0.32,0,0.26,0.3,0.52,0.48,0.72,0.74,0.5,0.42,0.24,0.38,0.2,0.24,0.2,0.78,0.36,0.42,0.88,0.66,0.88,0.54,0,0.5,0.32,0.86,0,0.02,0.16,0.3,0.8,0.94,0.92
24,MN,27,"+44.9860594,-93.30065455",0.08,0.06,0.08,0.38,0.22,0.96,0.32,0.14,0.14,0.1,0.2,0.38,0.0816326530612245,0.08,0.7,0.14,0.24,0.18,0.08,0.06,0.26,0.48,0.42,0.14,0.24,0.34,0.14,0.26,0.74,0.02,0.1,0.42,0.66,0.34,0,0.14,0.78,0.12,0.06,0.26,0.02,0.448979591836735,0.64,0.12,0.24,0.32,0.44,0.5,0.48,0,0.9,0.32,0.44,0.48,0.836734693877551,0.52,0.5,0.02,1,0.14,0.24,0.54,1,0.92,0.0204081632653061,0.836734693877551,0.4,0.68,0.46,0.44,0.54,0.631578947368421,1,0.489795918367347,0,0.38,0.34,0.32,0.36,0,0.6,0.44,0.84,0.88,0.26,0.54,0.66,0.222222222222222,0.54,0.465116279069768,0.877551020408163,0.816326530612245,0.74,0.577777777777778,0.92,0.0638297872340426,0.42,0.52,0.2,0,0.86,0.34,0.34,0.38,0.76,0.54,0.92,0,0.08,0.48,0.8,0.18,0.3,0,0.3,0.54,0.1,0.0444444444444444,0.6,0.641025641025641,,0.34,0.58,0.1,,0.1,0.5,0.14,0,0.5,0.54,0.58,0.52,0.48,0.9,0.52,0.38,0.54,0.44,0.46,0.58,0.44,0.98,0.54,0.72,0.48,0.98,0.92,0.52,0,0.28,0.64,0.78,0.2,0.68,0.36,0.66,0.36,0.6,0.62
25,MS,28,"+32.37940135,-89.60380555",0.98,0.88,0.88,0.12,0.14,0.06,0.7,0.82,1,0.78,0.9,0.3,1,0.94,0.26,0.88,0.88,0.46,0.82,1,1,0.06,0.76,0.92,0.96,0.8,0.42,0.96,0,0.18,0.96,0.96,0.12,0.68,0.7,0.94,0.48,1,1,1,1,0.326530612244898,0.82,0.92,1,0.88,0.06,0.18,0.42,0,0,0.88,0.74,0.78,0.306122448979592,0.96,0.36,0.96,1,0.54,0.64,0.78,1,0.9,0.673469387755102,0.63265306122449,1,0.38,0.86,0.18,0.34,1,1,0.755102040816326,0,0.8,1,1,0.9,0.9,0.94,0.04,0.86,0.82,0.6,0.62,0.3,0.622222222222222,0.08,0.209302325581395,0.0408163265306122,0.102040816326531,0.18,0.0666666666666667,0.62,0.468085106382979,0.3,0.62,0.92,0,0.46,0.6,0.1,0.6,0.16,0.14,0,0.14,0.46,0.28,0.26,0.78,0.38,0,0.74,0.18,0.26,1,0.24,0.205128205128205,,0.92,1,0.86,,0.92,0.08,0.6,0.7,0.96,0.86,0.74,0.72,0.14,0.04,0.08,1,0.84,0.96,0.86,0.9,0.88,0,0.88,0.8,0.1,0.08,0.12,0.08,0,0.68,0.94,0.12,0.56,0.26,0.9,0.56,0.08,0.18,0.2
26,MO,29,"+38.6721942,-92.2683694",0.74,0.72,0.78,0.66,0.68,0.38,0.96,0.6,0.74,0.78,0.72,0.7,0.489795918367347,0.68,0.58,0.54,0.76,0.24,0.16,0.8,0.7,0.46,0.62,0.54,0.64,0.7,0.8,0.86,0.38,0.82,0.74,0.34,0.18,0.42,0,0.76,0.56,0.72,0.32,0.72,0.66,0.591836734693878,0.66,0.76,0.68,0.2,0.16,0.34,0.32,0,0.34,0.48,0.34,0.66,0.714285714285714,0.48,0.56,0.54,0.590909090909091,0.7,0.24,0.32,1,0.52,0.673469387755102,0.551020408163265,0.38,0.44,0.28,0.36,0.28,0.68421052631579,1,0.63265306122449,0,0.8,0.78,0.78,0.76,0.56,0.68,0.52,0.78,0.78,0.7,0.46,0.64,0.622222222222222,0.08,0.465116279069768,0.877551020408163,0.816326530612245,0.38,0.577777777777778,0.4,0.468085106382979,0.38,0.76,0.4,0,0.08,0.18,0.82,0.66,0.7,0.64,0.4,0.68,0.54,0.88,0.56,0.28,0.36,0,0.56,0.46,0.38,0.422222222222222,0.46,0.384615384615385,,0.76,0.72,0.16,,0.1,0.84,0.14,0,0.78,0.88,0.38,0.66,0.46,0.38,0.32,0.72,0.9,0.72,0.54,0.66,0.92,0.46,0.84,0.86,0.34,0.7,0.34,0.26,0,0.28,0.7,0.46,0.32,0.06,0.34,0.42,0.38,0.38,0.32
27,MT,30,"+46.6427197,-111.2529586",0.46,0.56,0.4,0.06,0.18,0.94,0.5,0.44,0.6,0.58,0.72,0.94,0.408163265306122,0.26,0.74,0.86,0.82,0.44,0.32,0.5,0.78,0.08,0.02,0.22,0.06,0.12,0.42,0.14,0.5,0.02,0.6,0.58,0.16,0.9,0.7,0.3,0.42,0.56,0.08,0.52,0.1,0.938775510204082,0.28,0.6,0.02,0.1,0.02,0,0.72,0,0.1,0.92,0.52,0.1,0.897959183673469,0.08,0.44,0.3,0.590909090909091,0.14,0.24,0,1,0.56,0.673469387755102,0,0.88,0.1,0.92,0.04,0.26,1,0.777777777777778,0.857142857142857,0,0.4,0.76,0.26,0.52,0.22,0.5,0.28,0.94,0.96,0.48,0,0.1,0.222222222222222,0,0,0.387755102040816,0.387755102040816,0,0.0444444444444444,0.26,0.0638297872340426,0.64,0.68,0.3,0,0.66,0.74,0.64,0.06,0.3,0.1,0,0.54,0.28,0.82,0.1,0.46,0.72,0,0.12,0.04,0.68,0.133333333333333,0.06,0.769230769230769,,0.16,0.54,0.3,,0.3,0.06,0.8,0,0.46,0.2,0.94,0.9,0.06,0.44,0.16,0.2,0.06,0.04,0.9,0.42,0.7,0.88,0.32,0.32,0.9,0.92,0.6,0.16,0,0,0.54,0.9,0.92,0.62,1,0.96,0.62,0.58,0.46
